gene_id	gene_name	gene_chrom	gene_start	gene_end	logFC	AveExpr	t	P.Value	adj.P.Val	B	peak_chrom	peak_start	peak_end	peak_direction	peak_score	distance	num_peaks	num_up_peaks	num_down_peaks
ENSG00000115239	ASB3	chr2	53532671	53860160	-0.0517010160988378	3.46015613854339	-0.416895508838755	0.6790747567928	0.999684918248377	-5.54672299095056	chr2	[53778401]	[53779400]	['peak_443_Down']	[-0.42]	[0]	1	0	0
ENSG00000118412	CASP8AP2	chr6	89829893	89874436	0.237325635279566	5.43623382558165	1.44210356572917	0.157374869884374	0.999684918248377	-4.81414119723919	chr6	[89868801]	[89869800]	['peak_933_Down']	[-0.35]	[0]	1	0	0
ENSG00000119231	SENP5	chr3	196867855	196934714	0.024948592898987	4.97701067781874	0.165518819879499	0.869403426110716	0.999684918248377	-5.73194878102594	chr3	[196897901]	[196899800]	['peak_776_Down']	[-0.44]	[0]	1	0	0
ENSG00000119866	BCL11A	chr2	60450519	60554467	0.429940208006888	4.48695412109048	2.86861463434787	0.0066634092840265	0.62587993837513	-2.33482093662047	chr2	[60466301]	[60468900]	['peak_444_Down']	[-0.31]	[0]	1	0	0
ENSG00000120265	PCMT1	chr6	149749442	149811420	-0.131275567112013	5.76205224984009	-0.911103538699291	0.367921352620364	0.999684918248377	-5.36154898486032	chr6	[149773901]	[149775200]	['peak_934_Down']	[-0.38]	[0]	1	0	0
ENSG00000120784	ZFP30	chr19	37613748	37692337	0.21965352659546	3.68098883171475	2.22216121395003	0.0322327517940629	0.855794280070805	-3.57114909365346	chr19	[37621001]	[37622400]	['peak_427_Up']	[0.31]	[0]	1	0	0
ENSG00000121892	PDS5A	chr4	39822862	39977956	0.0776485228574533	6.67697603099124	1.49401955248525	0.143337703337203	0.999684918248377	-4.69717840128652	chr4	[39812201]	[39815100]	['peak_800_Down']	[-0.36]	[7763]	1	0	0
ENSG00000122484	RPAP2	chr1	92299058	92402056	0.0156794471128761	4.91065922006677	0.102074429390598	0.919228420979817	0.999684918248377	-5.7379460064795	chr1	[92392001]	[92393100]	['peak_9_Up']	[0.31]	[0]	1	0	0
ENSG00000130414	NDUFA10	chr2	239892449	240025743	-0.0711946230459279	5.77901925184714	-0.708619194852751	0.482837970210978	0.999684918248377	-5.50938291390029	chr2	[239914801]	[239915800]	['peak_476_Down']	[-0.38]	[0]	1	0	0
ENSG00000130653	PNPLA7	chr9	137459951	137550402	0.15695550541249	2.12711999870286	0.681947185386286	0.499362577586458	0.999684918248377	-5.25254258040218	chr9	[137517201]	[137518500]	['peak_1075_Down']	[-0.33]	[0]	1	0	0
ENSG00000131149	GSE1	chr16	85169524	85676204	-0.0315734593598993	5.74198250912386	-0.21729828649131	0.829125623635927	0.999684918248377	-5.71881627187052	chr16	[85387701]	[85389100]	['peak_275_Down']	[-0.47]	[0]	1	0	0
ENSG00000132549	VPS13B	chr8	99013265	99877580	0.0032065937372012	5.41250614869145	0.0159323013713334	0.9873708403695	0.999684918248377	-5.74793042156975	chr8	[99427401]	[99428400]	['peak_998_Up']	[0.31]	[0]	1	0	0
ENSG00000135052	GOLM1	chr9	86026145	86100173	-0.122270673145692	4.41913553823981	-0.90969505261932	0.36865446306919	0.999684918248377	-5.34345280476649	chr9	[86052601]	[86054000]	['peak_1069_Down']	[-0.35]	[0]	1	0	0
ENSG00000135976	ANKRD36	chr2	97113152	97264521	0.0973844767653937	3.28312719520027	0.382975220220091	0.703848660578479	0.999684918248377	-5.53640776237875	chr2	[97163401, 97270101]	[97164900, 97271100]	['peak_469_Up', 'peak_470_Up']	[0.38, 0.31]	[0, 5581]	2	0	0
ENSG00000137601	NEK1	chr4	169392808	169612627	0.141261523351442	3.20594179819097	1.4887734340171	0.144709227765783	0.999684918248377	-4.64002537918026	chr4	[169545701]	[169547500]	['peak_864_Up']	[0.36]	[0]	1	0	0
ENSG00000137845	ADAM10	chr15	58588808	58749791	0.0193125044125839	7.01514542508595	0.192307911480373	0.848513778327839	0.999684918248377	-5.63168207428195	chr15	[58721701]	[58722900]	['peak_248_Down']	[-0.33]	[0]	1	0	0
ENSG00000140262	TCF12	chr15	56918622	57299281	0.122750889330436	5.54230586777871	2.59409152687152	0.0133520380367797	0.736526933617176	-2.9072906781816	chr15	[56940101]	[56941400]	['peak_247_Down']	[-0.38]	[0]	1	0	0
ENSG00000141367	CLTC	chr17	59619688	59696956	-0.0452501757307919	7.17392596227582	-0.486456477975131	0.629406665533093	0.999684918248377	-5.52677036345404	chr17	[59653201]	[59654300]	['peak_347_Down']	[-0.32]	[0]	1	0	0
ENSG00000145781	COMMD10	chr5	116085015	116412762	-0.102874230112138	3.96038407521128	-0.860103287500675	0.395066928513936	0.999684918248377	-5.34754484739855	chr5	[116167701]	[116169000]	['peak_924_Down']	[-0.33]	[0]	1	0	0
ENSG00000146757	ZNF92	chr7	65373798	65401136	0.249064932905673	4.86591320411903	3.61581717911677	0.0008581124386987	0.398744429888906	-0.634978877685196	chr7	[65429501]	[65430700]	['peak_982_Up']	[0.37]	[28366]	1	0	0
ENSG00000148399	DPH7	chr9	137554443	137578925	-0.089851516311855	3.7373178954004	-0.322330121597731	0.748949870600358	0.999684918248377	-5.60992394842637	chr9	[137569301]	[137570400]	['peak_1076_Down']	[-0.41]	[0]	1	0	0
ENSG00000148814	LRRC27	chr10	132332153	132381508	-0.166309624196358	2.17590244786463	-1.21446284020579	0.231982026837162	0.999684918248377	-4.84664647562799	chr10	[132363801]	[132365300]	['peak_101_Down']	[-0.58]	[0]	1	0	0
ENSG00000149531	FRG1BP	chr20	30377371	30399257	0.0246736549567572	2.56801773380536	0.147022107589203	0.88388327535141	0.999684918248377	-5.49671117394589	chr20	[30372301]	[30374200]	['peak_526_Up']	[0.34]	[3172]	1	0	0
ENSG00000152520	PAN3	chr13	28138505	28295335	0.0488805402770094	6.1668511680265	0.230019541546988	0.819296743336749	0.999684918248377	-5.69493314345322	chr13	[28214701]	[28215800]	['peak_174_Up']	[0.42]	[0]	1	0	0
ENSG00000155093	PTPRN2	chr7	157539055	158587823	0.150116675634962	1.86783292924162	0.900802221762608	0.373304929402455	0.999684918248377	-5.08142759235834	chr7	[158130401, 158150501, 158154701]	[158132600, 158152400, 158155800]	['peak_991_Down', 'peak_992_Down', 'peak_993_Down']	[-0.45, -0.33, -0.33]	[0, 0, 0]	3	0	0
ENSG00000158019	BABAM2	chr2	27889940	28338901	-0.040083290992889	3.97376353695416	-0.306528677528679	0.760857041073596	0.999684918248377	-5.6387328781885	chr2	[28071601]	[28072800]	['peak_440_Down']	[-0.31]	[0]	1	0	0
ENSG00000159216	RUNX1	chr21	34787800	36004667	0.0402268790064477	6.31491834324093	0.56349188414277	0.576373881656794	0.999684918248377	-5.56438931782557	chr21	[35993101]	[35994300]	['peak_646_Down']	[-0.34]	[0]	1	0	0
ENSG00000159618	ADGRG5	chr16	57542642	57591681	0.040921837284813	4.3722381372959	0.333503373387218	0.740567469990628	0.999684918248377	-5.66406846028501	chr16	[57567801]	[57570000]	['peak_273_Down']	[-0.31]	[0]	1	0	0
ENSG00000159685	CHCHD6	chr3	126704239	126960420	0.201918201962292	0.608885342467554	1.48684879066602	0.145215011786332	0.999684918248377	-4.45695899244886	chr3	[126861501]	[126865500]	['peak_775_Down']	[-0.38]	[0]	1	0	0
ENSG00000160908	ZNF394	chr7	99473876	99504857	-0.0155532224110768	5.53385150914211	-0.248282207251598	0.805238207556204	0.999684918248377	-5.71782409678628	chr7	[99495901]	[99496900]	['peak_984_Down']	[-0.35]	[0]	1	0	0
ENSG00000165025	SYK	chr9	90801786	90898549	0.0564211343239149	6.73243664367182	0.496896776313532	0.622093012973744	0.999684918248377	-5.56327464762934	chr9	[90841101]	[90842500]	['peak_1071_Down']	[-0.35]	[0]	1	0	0
ENSG00000166575	TMEM135	chr11	87037843	87328824	-0.22227482502024	3.3857396144464	-2.26199794386818	0.0294341173150736	0.850675014815585	-3.48936414071359	chr11	[87116401]	[87117400]	['peak_138_Down']	[-0.32]	[0]	1	0	0
ENSG00000167487	KLHL26	chr19	18637024	18671721	-0.0383676078127673	2.78178551149632	-0.345714815652671	0.73144270868335	0.999684918248377	-5.48354158394781	chr19	[18653401]	[18654600]	['peak_372_Down']	[-0.35]	[0]	1	0	0
ENSG00000168528	SERINC2	chr1	31409564	31434680	0.171346780164017	0.0842958108293555	0.739460814891911	0.464121008937836	0.999684918248377	-5.01290883946223	chr1	[31431001]	[31432800]	['peak_7_Down']	[-0.44]	[0]	1	0	0
ENSG00000168646	AXIN2	chr17	65528562	65561648	0.186143287131074	3.77553091090624	1.06206093038053	0.29483773239054	0.999684918248377	-5.15799826329433	chr17	[65499401]	[65500400]	['peak_349_Down']	[-0.32]	[28163]	1	0	0
ENSG00000169093	ASMTL	chrY	1403138	1453762	-0.0875247880257191	2.70673228508548	-0.917507677755777	0.364599937830978	0.999684918248377	-5.16525390424375	chrY	[1405401, 1405401]	[1406500, 1406500]	['peak_1087_Down', 'peak_1087_Down']	[-0.41, -0.41]	[0, 0]	2	0	0
ENSG00000169193	CCDC126	chr7	23597381	23644708	0.0739313645861581	2.92986606760027	0.86112957872738	0.394508538513234	0.999684918248377	-5.23373842696239	chr7	[23611801]	[23612800]	['peak_950_Down']	[-0.43]	[0]	1	0	0
ENSG00000169570	DTWD2	chr5	118836073	118988547	0.181208387393232	2.83955377450218	1.99145300186671	0.0535743595706491	0.915611019148793	-3.90959473951185	chr5	[118884701, 118914801]	[118885700, 118915800]	['peak_925_Down', 'peak_926_Down']	[-0.36, -0.31]	[0, 0]	2	0	0
ENSG00000170571	EMB	chr5	50396191	50443248	0.262200349595107	7.5416242524914	2.11558724469929	0.0409170088097928	0.878934670318725	-3.73185086954539	chr5	[48166701, 48212201, 48228701, 48246001, 48277301, 48353501, 48380601, 48442701, 48453401, 48504501, 48560701, 48576401, 48620601, 48679601, 48812501, 48827501, 48849901, 48884501, 48892301, 48928501, 48943001, 49012001, 49055701, 49082901, 49274901, 49598501, 49627101, 49734401, 49776301, 49786201, 49794101, 49857901, 49875001, 49892801, 49910601, 49932901, 49938601, 50051601, 50052801]	[48167700, 48213500, 48229800, 48247000, 48278600, 48355500, 48381700, 48443800, 48454500, 48505700, 48562600, 48577900, 48621700, 48680600, 48814400, 48828900, 48851000, 48885600, 48894200, 48930400, 48944400, 49013000, 49057600, 49084800, 49276600, 49601100, 49628400, 49735400, 49778000, 49787300, 49795300, 49859000, 49876000, 49894000, 49912300, 49934600, 49939700, 50052600, 50053800]	['peak_885_Up', 'peak_886_Up', 'peak_887_Up', 'peak_888_Up', 'peak_889_Up', 'peak_890_Down', 'peak_891_Up', 'peak_892_Up', 'peak_893_Down', 'peak_894_Up', 'peak_895_Down', 'peak_896_Up', 'peak_897_Up', 'peak_898_Up', 'peak_899_Up', 'peak_900_Down', 'peak_901_Down', 'peak_902_Down', 'peak_903_Up', 'peak_904_Up', 'peak_905_Up', 'peak_906_Up', 'peak_907_Down', 'peak_908_Up', 'peak_909_Up', 'peak_910_Up', 'peak_911_Down', 'peak_912_Up', 'peak_913_Up', 'peak_914_Up', 'peak_915_Up', 'peak_916_Up', 'peak_917_Up', 'peak_918_Up', 'peak_919_Up', 'peak_920_Up', 'peak_921_Up', 'peak_922_Up', 'peak_923_Up']	[0.31, 0.52, 0.36, 0.32, 0.41, -0.38, 0.42, 0.32, -0.47, 0.37, -0.32, 0.37, 0.36, 0.32, 0.33, -0.31, -0.72, -0.37, 0.37, 0.92, 0.33, 0.51, -0.41, 0.33, 0.33, 0.35, -0.32, 0.49, 0.37, 0.32, 0.32, 0.45, 0.36, 0.4, 0.31, 0.34, 0.34, 0.41, 0.45]	[2228492, 2182692, 2166392, 2149192, 2117592, 2040692, 2014492, 1952392, 1941692, 1890492, 1833592, 1818292, 1774492, 1715592, 1581792, 1567292, 1545192, 1510592, 1501992, 1465792, 1451792, 1383192, 1338592, 1311392, 1119592, 795092, 767792, 660792, 618192, 608892, 600892, 537192, 520192, 502192, 483892, 461592, 456492, 343592, 342392]	39	0	0
ENSG00000171649	ZIK1	chr19	57578455	57593890	0.077688232968566	3.24308440392252	0.642871555138385	0.524125332620125	0.999684918248377	-5.41412039981893	chr19	[57582101]	[57583400]	['peak_436_Up']	[0.4]	[0]	1	0	0
ENSG00000171723	GPHN	chr14	66507406	67181803	0.197178093079151	2.12329759793628	2.38216133712812	0.0222618059990344	0.824399569919791	-3.25460283220223	chr14	[66788401]	[66789400]	['peak_213_Down']	[-0.32]	[0]	1	0	0
ENSG00000172572	PDE3A	chr12	20368536	20688583	0.0420497680908858	2.04884157623792	0.12140108838001	0.904006008833993	0.999684918248377	-5.4305306996038	chr12	[20551101]	[20552400]	['peak_141_Up']	[0.39]	[0]	1	0	0
ENSG00000172927	MYEOV	chr11	69294150	69367726	-0.283627716102825	2.60450552589858	-0.729338770516984	0.470217121356288	0.999684918248377	-5.28430750872988	chr11	[69262501]	[69263800]	['peak_137_Up']	[0.32]	[30351]	1	0	0
ENSG00000172965	MIR4435-2HG	chr2	111006014	111523376	-0.253534941000176	4.39948898753038	-1.12171510557349	0.268944617395894	0.999684918248377	-5.15039716632705	chr2	[111422501]	[111423600]	['peak_471_Up']	[0.57]	[0]	1	0	0
ENSG00000173638	SLC19A1	chr21	45493571	45573365	-0.243218381046214	3.1966689722312	-2.34985305673885	0.024016368462864	0.828854504329391	-3.32704148062709	chr21	[45499801]	[45501600]	['peak_647_Down']	[-0.41]	[0]	1	0	0
ENSG00000174469	CNTNAP2	chr7	146116001	148420998	1.15440631677281	1.40301008985512	2.16194288814914	0.0369136083165855	0.866270376667379	-3.61011159019698	chr7	[148329701]	[148332600]	['peak_988_Down']	[-0.36]	[0]	1	0	0
ENSG00000174501	ANKRD36C	chr2	95836918	95991831	0.116286217978218	2.32041851466564	0.463274663360497	0.64578090346538	0.999684918248377	-5.38139253449765	chr2	[95936801]	[95940300]	['peak_468_Up']	[0.35]	[0]	1	0	0
ENSG00000176473	WDR25	chr14	100376417	100530303	-0.0221429072492756	1.75704911584701	-0.161037662837937	0.872907448682016	0.999684918248377	-5.38844299242367	chr14	[100526601]	[100527800]	['peak_214_Down']	[-0.31]	[0]	1	0	0
ENSG00000177706	FAM20C	chr7	192570	260772	-0.138821817226453	2.59317003953305	-0.744538822454255	0.46108002806633	0.999684918248377	-5.27319968533658	chr7	[239401]	[241300]	['peak_948_Down']	[-0.31]	[0]	1	0	0
ENSG00000179104	TMTC2	chr12	82686879	83134870	-0.0549296866170166	2.61875856588774	-0.236717972637614	0.814133032988167	0.999684918248377	-5.48891811095993	chr12	[82827501]	[82828500]	['peak_148_Down']	[-0.47]	[0]	1	0	0
ENSG00000179698	WDR97	chr8	144107725	144118328	0.0914995586962247	-0.124892798167449	0.304680427469176	0.762253707335345	0.999684918248377	-5.15553476618553	chr8	[144125001]	[144126600]	['peak_1001_Up']	[0.55]	[6674]	1	0	0
ENSG00000180229	HERC2P3	chr15	20379494	20506180	0.0542728955389964	2.6861748386395	0.166284520458348	0.868804954175937	0.999684918248377	-5.50985104489875	chr15	[20372601, 20384501, 20397701, 20417201, 20420901]	[20374300, 20386500, 20399600, 20419600, 20422300]	['peak_237_Up', 'peak_238_Up', 'peak_239_Up', 'peak_240_Up', 'peak_241_Up']	[0.57, 0.51, 0.32, 0.42, 0.52]	[5195, 0, 0, 0, 0]	5	0	0
ENSG00000182871	COL18A1	chr21	45405164	45513720	-0.158430811949942	2.09003593451266	-0.534403834667358	0.596140929456222	0.999684918248377	-5.32340309927009	chr21	[45499801]	[45501600]	['peak_647_Down']	[-0.41]	[0]	1	0	0
ENSG00000183570	PCBP3	chr21	45643693	45942454	-0.338325740382202	-0.709163880386556	-1.37423059314159	0.177333135398984	0.999684918248377	-4.5148692373954	chr21	[45635101, 45796901]	[45636300, 45798700]	['peak_648_Down', 'peak_649_Up']	[-0.42, 0.55]	[7394, 0]	2	0	0
ENSG00000185495	SEPTIN7P13	chr1	223992742	224010612	-0.101780681018335	2.91813106490838	-0.476889599360751	0.636141826737685	0.999684918248377	-5.45492471300332	chr1	[224011001]	[224017200]	['peak_52_Down']	[-0.33]	[390]	1	0	0
ENSG00000185811	IKZF1	chr7	50304067	50405101	0.0512383161755672	8.68995872822287	0.518700695072269	0.60694400454217	0.999684918248377	-5.36807833956253	chr7	[50334601]	[50335900]	['peak_951_Down']	[-0.31]	[0]	1	0	0
ENSG00000185900	POMK	chr8	43093497	43131180	0.0294946488403349	4.69529911569191	0.28707288115923	0.775598940680548	0.999684918248377	-5.69639016188257	chr8	[43110701]	[43111700]	['peak_994_Up']	[0.34]	[0]	1	0	0
ENSG00000187609	EXD3	chr9	137306895	137423211	0.0794362091927274	2.21289924217078	0.563064114956868	0.576662234731653	0.999684918248377	-5.32478213407311	chr9	[137328101]	[137330500]	['peak_1074_Up']	[0.34]	[0]	1	0	0
ENSG00000196712	NF1	chr17	31094926	31382116	0.157751452458999	5.39816549127027	1.68156024837975	0.100765699536018	0.999684918248377	-4.49212216228581	chr17	[31116601]	[31117800]	['peak_340_Down']	[-0.37]	[0]	1	0	0
ENSG00000197050	ZNF420	chr19	37007856	37130368	0.122398707076628	3.63137403337197	1.22347361249898	0.228600868169786	0.999684918248377	-4.98457857070289	chr19	[37054301]	[37055300]	['peak_426_Up']	[0.38]	[0]	1	0	0
ENSG00000198162	MAN1A2	chr1	117367448	117528872	0.171623034796479	5.94612363619864	2.26302203985885	0.0293651264733845	0.850675014815585	-3.53399022713526	chr1	[117450701]	[117451700]	['peak_11_Up']	[0.44]	[0]	1	0	0
ENSG00000198355	PIM3	chr22	49960767	49964072	0.0618677596760024	5.10767632108214	0.71245194486539	0.480489010839287	0.999684918248377	-5.51440280707309	chr22	[49972801]	[49974500]	['peak_751_Down']	[-0.37]	[8730]	1	0	0
ENSG00000198556	ZNF789	chr7	99472889	99503650	-0.0365839903529346	3.37069723574786	-0.151762020070671	0.88016866095154	0.999684918248377	-5.60292186485301	chr7	[99495901]	[99496900]	['peak_984_Down']	[-0.35]	[0]	1	0	0
ENSG00000198695	MT-ND6	chrM	14148	14673	-0.163909882788452	11.7545943450781	-0.585618316717332	0.561556014006325	0.999684918248377	-5.09092855242939	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000198712	MT-CO2	chrM	7585	8269	-0.140551265134476	13.4940888495609	-0.513676191114325	0.610419748513834	0.999684918248377	-5.01152588219745	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000198727	MT-CYB	chrM	14746	15887	-0.231718908519175	13.0315580661443	-0.812856284872539	0.421308458134428	0.999684918248377	-4.90667731858088	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000198763	MT-ND2	chrM	4469	5511	-0.263048743664596	13.2467491085275	-0.960909896936193	0.342605501273721	0.999684918248377	-4.81167436091455	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000198786	MT-ND5	chrM	12336	14148	-0.170400356051367	13.6224340555923	-0.590935485887692	0.558023887116501	0.999684918248377	-4.97727187654234	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000198804	MT-CO1	chrM	5903	7445	-0.076704580454809	14.8821169188649	-0.256425779222712	0.7989900501695	0.999684918248377	-4.9996787619167	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000198840	MT-ND3	chrM	10058	10404	-0.153368747761821	12.0247779757742	-0.494262259200028	0.623934932997571	0.999684918248377	-5.10805663396117	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000198870	STKLD1	chr9	133376365	133406096	0.0309274322482931	-1.0985206203797	0.141222258974948	0.888432153440114	0.999684918248377	-5.0904089232303	chr9	[133392201]	[133394200]	['peak_1073_Down']	[-0.31]	[0]	1	0	0
ENSG00000198886	MT-ND4	chrM	10759	12137	-0.167622235843153	13.921936070099	-0.633006166749965	0.530479130285929	0.999684918248377	-4.94594775761525	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000198888	MT-ND1	chrM	3306	4262	-0.217526556994274	13.2515826297544	-0.742093199233108	0.462543150422259	0.999684918248377	-4.93155390421419	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000198899	MT-ATP6	chrM	8526	9207	-0.184139825853562	13.0604586199148	-0.650515572070668	0.51923022605148	0.999684918248377	-4.98337467436508	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000198938	MT-CO3	chrM	9206	9990	-0.176039418846957	13.6084792407568	-0.637857785902814	0.527349374494929	0.999684918248377	-4.95966585622416	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000203780	FANK1	chr10	125896563	126009592	0.205580550532169	-0.765060703212325	0.689207646395222	0.494833655157438	0.999684918248377	-4.9682187066355	chr10	[125899201, 125904601, 125926001]	[125900200, 125906300, 125927900]	['peak_97_Up', 'peak_98_Up', 'peak_99_Up']	[0.46, 0.36, 0.36]	[0, 0, 0]	3	0	0
ENSG00000204977	TRIM13	chr13	49995887	50020481	0.135989582679689	5.25020264754124	2.69111935180418	0.0104864402179174	0.699693458212904	-2.71118420688685	chr13	[50004001]	[50005300]	['peak_175_Down']	[-0.31]	[0]	1	0	0
ENSG00000205277	MUC12	chr7	100969564	101018939	0.174425763090043	-1.14707568191719	0.688809479703993	0.495081430477298	0.999684918248377	-4.94018509376485	chr7	[100999501]	[101001100]	['peak_985_Up']	[0.4]	[0]	1	0	0
ENSG00000210049	MT-TF	chrM	576	647	0.0341564622811516	0.140525759018646	0.0646808737689146	0.948763427779836	0.999684918248377	-5.21448446908894	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000210082	MT-RNR2	chrM	1670	3229	-0.259529058421236	16.150255444882	-0.825080926194423	0.414418663313765	0.999684918248377	-4.78613110856077	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
ENSG00000210135	MT-TN	chrM	5656	5729	-0.0471928230131711	1.01499384885548	-0.164940204336245	0.869855723902554	0.999684918248377	-5.30009503780114	chrM	[1]	[16600]	['peak_1078_Up']	[0.36]	[0]	1	0	0
